0,3.75,15,18.75,30
4.5,4.5,-1.5,-1.5,4.5
-1,1,1,-1,-1
1,1,1,1,1
0,0,0,0,0
3.46352549156242,3.46352549156242,-2.53647450843758,-2.53647450843758,3.46352549156242
0.42658477444273,2.42658477444273,2.42658477444273,0.42658477444273,0.42658477444273
1,1,1,1,1
0,0,0,0,0
1.78647450843758,1.78647450843758,-4.21352549156242,-4.21352549156242,1.78647450843758
-0.11832212156129,1.88167787843871,1.88167787843871,-0.11832212156129,-0.11832212156129
1,1,1,1,1
0,0,0,0,0
1.78647450843758,1.78647450843758,-4.21352549156242,-4.21352549156242,1.78647450843758
-1.88167787843871,0.11832212156129,0.11832212156129,-1.88167787843871,-1.88167787843871
1,1,1,1,1
0,0,0,0,0
3.46352549156242,3.46352549156242,-2.53647450843758,-2.53647450843758,3.46352549156242
-2.42658477444273,-0.42658477444273,-0.42658477444273,-2.42658477444273,-2.42658477444273
1,1,1,1,1
0,0,0,0,0
