0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
4.5,4.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-1.5,-1.5,-0.5,0.5,1.5,2.5,3.5
-1,0,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.46352549156242,3.46352549156242,3.46352549156242,2.46352549156242,1.46352549156242,0.463525491562421,-0.536474508437579,-1.53647450843758,-2.53647450843758,-2.53647450843758,-2.53647450843758,-1.53647450843758,-0.536474508437579,0.463525491562421,1.46352549156242,2.46352549156242
0.42658477444273,1.42658477444273,2.42658477444273,2.42658477444273,2.42658477444273,2.42658477444273,2.42658477444273,2.42658477444273,2.42658477444273,1.42658477444273,0.42658477444273,0.42658477444273,0.42658477444273,0.42658477444273,0.42658477444273,0.42658477444273
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.78647450843758,1.78647450843758,1.78647450843758,0.786474508437579,-0.213525491562421,-1.21352549156242,-2.21352549156242,-3.21352549156242,-4.21352549156242,-4.21352549156242,-4.21352549156242,-3.21352549156242,-2.21352549156242,-1.21352549156242,-0.213525491562421,0.786474508437579
-0.11832212156129,0.88167787843871,1.88167787843871,1.88167787843871,1.88167787843871,1.88167787843871,1.88167787843871,1.88167787843871,1.88167787843871,0.88167787843871,-0.11832212156129,-0.11832212156129,-0.11832212156129,-0.11832212156129,-0.11832212156129,-0.11832212156129
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.78647450843758,1.78647450843758,1.78647450843758,0.786474508437579,-0.213525491562421,-1.21352549156242,-2.21352549156242,-3.21352549156242,-4.21352549156242,-4.21352549156242,-4.21352549156242,-3.21352549156242,-2.21352549156242,-1.21352549156242,-0.213525491562421,0.786474508437579
-1.88167787843871,-0.88167787843871,0.11832212156129,0.11832212156129,0.11832212156129,0.11832212156129,0.11832212156129,0.11832212156129,0.11832212156129,-0.88167787843871,-1.88167787843871,-1.88167787843871,-1.88167787843871,-1.88167787843871,-1.88167787843871,-1.88167787843871
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.46352549156242,3.46352549156242,3.46352549156242,2.46352549156242,1.46352549156242,0.463525491562421,-0.536474508437579,-1.53647450843758,-2.53647450843758,-2.53647450843758,-2.53647450843758,-1.53647450843758,-0.536474508437579,0.463525491562421,1.46352549156242,2.46352549156242
-2.42658477444273,-1.42658477444273,-0.42658477444273,-0.42658477444273,-0.42658477444273,-0.42658477444273,-0.42658477444273,-0.42658477444273,-0.42658477444273,-1.42658477444273,-2.42658477444273,-2.42658477444273,-2.42658477444273,-2.42658477444273,-2.42658477444273,-2.42658477444273
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
